4	0	42
1	0	48
5	2	119
2	0	123
2	1	73
2	0	104
4	2	102
2	1	65
3	1	92
5	2	41
3	1	111
4	0	54
4	2	34
2	2	104
2	0	54
0	1	58
1	1	29
0	2	64
1	0	59
5	1	56
4	2	75
2	0	121
0	2	28
4	1	50
2	0	109
0	0	25
5	2	88
4	1	116
3	2	62
4	1	44
2	1	27
5	0	86
0	1	95
3	2	103
3	0	26
0	1	47
4	1	82
0	1	65
4	0	36
1	2	75
1	0	51
3	0	60
5	0	94
1	2	95
3	2	112
1	1	44
2	0	77
1	2	92
2	1	94
3	1	121
1	1	102
1	1	108
5	0	74
3	2	30
1	2	71
1	2	54
0	2	119
4	1	43
1	2	57
0	2	41
2	2	112
0	0	57
1	1	50
0	1	72
5	0	34
4	0	77
2	1	85
5	2	113
3	1	63
3	1	42
3	2	44
4	2	53
0	2	78
1	0	57
0	0	113
